hz1,X1,Y1,Z1,hz2,X2,Y2,Z2,hz3,X3,Y3,Z3,hz4,X4,Y4,Z4,hz5,X5,Y5,Z5,hz6,X6,Y6,Z6
27,0.100732711,0.129345069,0.064054832,14.25,0.006754391,0.02483878,0.054234388,27,0.160105485,0.221612923,0.520431023,14.25,0.025314625,0.031103149,0.008235886,27,0.07692142,0.126155265,0.277693091,14.25,0.025314625,0.031103149,0.008235886
28,0.127535127,0.139639442,0.082085092,14.5,0.007262604,0.025176888,0.055403164,28,0.267368313,0.231971389,0.826519123,14.5,0.0188741,0.027804668,0.014895022,28,0.137224535,0.130807902,0.48340304,14.5,0.0188741,0.027804668,0.014895022
29,0.167154992,0.153170868,0.109367183,14.75,0.007773895,0.025553978,0.055732115,28.7749,0.325812714,0.241001538,1,14.75,0.020203221,0.020744639,0.014705208,29,0.27697406,0.136196151,0.944884838,14.75,0.020203221,0.020744639,0.014705208
30,0.230994761,0.171978824,0.154611905,15,0.008342482,0.02596768,0.055825991,29,0.312781826,0.243805475,0.969352766,15,0.025220773,0.035705056,0.00844356,29.2676,0.292255711,0.13779329,1,15,0.025220773,0.035705056,0.00844356
31,0.348023015,0.200294856,0.240251997,15.25,0.008952912,0.026239315,0.056155399,30,0.183606588,0.2575374,0.619373119,15.25,0.011347032,0.006025234,0.018174132,30,0.185831651,0.142471655,0.670044598,15.25,0.011347032,0.006025234,0.018174132
32,0.603657714,0.248128847,0.433339022,15.5,0.009531821,0.026589384,0.057238287,31,0.105990077,0.273820617,0.379770744,15.5,0.02844805,0.036865079,0.003791943,31,0.08538966,0.149862857,0.330505832,15.5,0.02844805,0.036865079,0.003791943
33,0.998505423,0.340077767,0.742996185,15.75,0.01012449,0.026953101,0.058067964,32,0.073387111,0.293432759,0.253825701,15.75,0.017138807,0.025638039,0.017873473,32,0.051373542,0.158831707,0.192681871,15.75,0.017138807,0.025638039,0.017873473
33.0576,1,0.347395778,0.745051557,16,0.010715917,0.027329783,0.058847647,33,0.06021811,0.317584812,0.18111807,16,0.028239299,0.030826754,0.013477214,33,0.038808841,0.169994917,0.12358567,16,0.028239299,0.030826754,0.013477214
34,0.638168845,0.429702273,0.480733267,16.25,0.011397089,0.027709667,0.05957673,34,0.055902689,0.348179753,0.135327331,16.25,0.028602025,0.036862884,0.013754721,34,0.034435267,0.184368387,0.08325923,16.25,0.028602025,0.036862884,0.013754721
34.1166,0.592405688,0.415962651,0.44693896,16.5,0.0121025,0.028087494,0.060322126,35,0.056112253,0.388298146,0.104765951,16.5,0.022634719,0.016690106,0.01830608,35,0.033787359,0.203727801,0.057496776,16.5,0.022634719,0.016690106,0.01830608
35,0.361154908,0.186724282,0.279140976,16.75,0.01276555,0.02849638,0.061165683,36,0.058956136,0.443053705,0.08366751,16.75,0.034120726,0.041152403,0.004742487,36,0.035124798,0.231428825,0.04015035,16.75,0.034120726,0.041152403,0.004742487
36,0.237061383,0.048612948,0.195621234,17,0.013463626,0.028908932,0.062234202,37,0.063567741,0.520636427,0.068905845,17,0.015763619,0.020331209,0.019549105,37,0.037705434,0.274433068,0.028162163,17,0.015763619,0.020331209,0.019549105
37,0.171475677,0.027519503,0.158433573,17.25,0.014165992,0.029344157,0.063043291,38,0.069551092,0.629142102,0.058649408,17.25,0.035266549,0.038915379,0.010211058,38,0.041203688,0.348081172,0.01985457,17.25,0.035266549,0.038915379,0.010211058
38,0.13256428,0.047117315,0.143551347,17.5,0.014965408,0.029815989,0.063829679,39,0.076753706,0.732683934,0.051708852,17.5,0.029270302,0.037047424,0.017549052,39,0.04548908,0.46970075,0.014222557,17.5,0.029270302,0.037047424,0.017549052
39,0.108278382,0.070010012,0.142657592,17.75,0.015833404,0.030302717,0.064518057,39.8297,0.083647762,0.658003638,0.047838824,17.75,0.031843952,0.02976193,0.018139621,39.7801,0.049349377,0.469833293,0.011202401,17.75,0.031843952,0.02976193,0.018139621
40,0.093645119,0.092406462,0.153864015,18,0.016642038,0.030850584,0.065475834,40,0.085168399,0.61102014,0.047235045,18,0.038218693,0.045772696,0.012268534,40,0.050520884,0.414644871,0.010539078,18,0.038218693,0.045772696,0.012268534
41,0.087106832,0.115864581,0.177878725,18.25,0.017482186,0.031391643,0.066025651,41,0.094846263,0.267363169,0.045035264,18.25,0.023731004,0.015205596,0.022079242,41,0.056362265,0.123638904,0.008611916,18.25,0.023731004,0.015205596,0.022079242
